model,maturity,tenor_years,r2,rmse_bps,mae_bps
Base CIR,ZC050YR,0.5,0.9944426261937739,5.875025933739308,4.3054947377004265
Base CIR,ZC075YR,0.75,0.9675573021008083,13.004563083261532,9.673792194395999
Base CIR,ZC100YR,1.0,0.9102571906789396,19.715055171370754,14.713116823850912
Base CIR,ZC200YR,2.0,0.39031798245271443,36.51942406935499,28.04932283728132
Base CIR,ZC500YR,5.0,-3.280405774121463,49.07043097893606,42.60635293900251
Base CIR,ZC1000YR,10.0,-14.52959790047548,73.03205060192136,62.856131900245366
Base CIR,ZC2000YR,20.0,-17.092908462382802,98.4351326952804,88.93820074392859
Base CIR,ZC3000YR,30.0,-13.882406764749032,107.45233805577296,99.14552211035142
CIR++ Walk-Forward Residual,ZC050YR,0.5,0.9996472819004785,1.4800924935044912,0.9958500719036907
CIR++ Walk-Forward Residual,ZC075YR,0.75,0.9992736042966717,1.9459152328069833,1.3014622181860105
CIR++ Walk-Forward Residual,ZC100YR,1.0,0.9985001046624468,2.5487582468343426,1.7453191827761254
CIR++ Walk-Forward Residual,ZC200YR,2.0,0.9896046215515997,4.768616303814734,3.322754084689128
CIR++ Walk-Forward Residual,ZC500YR,5.0,0.9599931991114781,4.743995999324057,3.5971080191232807
CIR++ Walk-Forward Residual,ZC1000YR,10.0,0.9373470708862721,4.6387832398489275,3.633532580151985
CIR++ Walk-Forward Residual,ZC2000YR,20.0,0.967007687163775,4.20341547646528,3.3298618257799073
CIR++ Walk-Forward Residual,ZC3000YR,30.0,0.9767303436536032,4.248878079349453,3.3735191091738135
